Geo,SUMLEV,RENTA_V1,RENTA_V2,RENTA_V3,RENTA_V4,RENTA_V5,RENTA_V6
34160101001,SL050,13086,34373,0,0,0,0
34160101002,SL050,13691,33936,0,0,0,0
34160101003,SL050,17194,46567,0,0,0,0
34160101004,SL050,13185,32680,0,0,0,0
34160101006,SL050,11330,28266,0,0,0,0
34160101008,SL050,18089,47872,0,0,0,0
34160101009,SL050,14134,31889,0,0,0,0
34160101010,SL050,13635,36970,0,0,0,0
34160101011,SL050,11794,29932,0,0,0,0
34160101013,SL050,15419,39003,0,0,0,0
34160101014,SL050,12836,31761,0,0,0,0
34160101016,SL050,14151,27697,0,0,0,0
34160101017,SL050,12850,27313,0,0,0,0
34160101018,SL050,17260,44527,0,0,0,0
34160101019,SL050,11121,29233,0,0,0,0
34160101020,SL050,18204,33464,0,0,0,0
34160101021,SL050,15751,43139,0,0,0,0
34160101022,SL050,13760,33407,0,0,0,0
34160101023,SL050,11837,29762,0,0,0,0
34160101027,SL050,13754,36700,0,0,0,0
34160101028,SL050,11880,28644,0,0,0,0
34160101030,SL050,14949,27882,0,0,0,0
34160101031,SL050,13299,29964,0,0,0,0
34160101032,SL050,10392,24589,0,0,0,0
34160101033,SL050,10967,26168,0,0,0,0
34160101034,SL050,18343,41374,0,0,0,0
34160101036,SL050,13777,32889,0,0,0,0
34160101037,SL050,14052,31356,0,0,0,0
34160101039,SL050,12687,27790,0,0,0,0
34160101041,SL050,11017,26853,0,0,0,0
34160101042,SL050,12274,31048,0,0,0,0
34160101043,SL050,11169,28289,0,0,0,0
34160101044,SL050,18025,34235,0,0,0,0
34160101046,SL050,15458,34865,0,0,0,0
34160101047,SL050,12480,34032,0,0,0,0
34160101049,SL050,15548,29580,0,0,0,0
34160101051,SL050,12374,30235,0,0,0,0
34160101052,SL050,13334,31220,0,0,0,0
34160101053,SL050,14467,35864,0,0,0,0
34160101054,SL050,13821,34869,0,0,0,0
34160101055,SL050,14325,29030,0,0,0,0
34160101056,SL050,13325,26199,0,0,0,0
34160101057,SL050,11623,27547,0,0,0,0
34160101058,SL050,14794,35673,0,0,0,0
34160101059,SL050,14226,33264,0,0,0,0
34160101060,SL050,12297,30205,0,0,0,0
34160101061,SL050,17959,41112,0,0,0,0
34160101062,SL050,13591,31993,0,0,0,0
