Geo,SUMLEV,RENTA_V12
34024444001,SL050,
34074040001,SL050,27.4
34111010001,SL050,26.2
34122727001,SL050,22.5
34164848001,SL050,26.2
34153131001,SL050, 
34070909001,SL050,
34172626001,SL050,33.9
34162020001,SL050,25.3
34081919001,SL050,
34143030001,SL050,30.9
34025050001,SL050,
34164848002,SL050,28.8
34143030002,SL050,28.4
34073434001,SL050,
34153131002,SL050, 
34153131003,SL050, 
34153131004,SL050, 
34121515001,SL050,27.1
34074242001,SL050,27.2
34024444002,SL050,
34092525001,SL050,31
34080202001,SL050,31.3
34081313001,SL050,26.6
34153131005,SL050, 
34111010002,SL050,29.7
34074949002,SL050,
34081616001,SL050,
34073434003,SL050,28.6
34022222001,SL050,29.7
34022222002,SL050,31.4
34010404001,SL050,33.9
34081919002,SL050,
34153131006,SL050, 
34090808001,SL050,26.7
34010404002,SL050,31.9
34073737001,SL050,28.8
34132828001,SL050,
34072424001,SL050,35.8
34111010003,SL050,35.9
34081616002,SL050,29.4
34110606001,SL050,28.9
34111010004,SL050,29.4
34111010005,SL050,25.7
34025050002,SL050,43.5
34110606002,SL050,31.2
34022222003,SL050,28.1
34074747001,SL050,
34011414001,SL050,28.9
34070505001,SL050,30.7
34053838001,SL050,38
34104646001,SL050,33.7
34153131007,SL050, 
34081919003,SL050,
34104646002,SL050,31.5
34010404003,SL050,33.7
34070909003,SL050,27.8
34074040002,SL050,
34070505002,SL050,36.1
34074242003,SL050,
34074040003,SL050,28.1
34162020002,SL050,22.7
34053535001,SL050,33.2
34073737002,SL050,23.7
34092525002,SL050,29.8
34123636020,SL050,29.4
34025050003,SL050,33.7
34172626002,SL050,30.7
34100303002,SL050,31.1
34092525003,SL050,29.9
34074242004,SL050,25.3
34100303003,SL050,33.3
34011818001,SL050,30.9
34014141001,SL050,32.1
34025050004,SL050,32.4
34070909006,SL050,
34074747002,SL050,
34024444003,SL050,
34024444004,SL050,29.4
34081313002,SL050,30.5
34022222004,SL050,27.9
34074040004,SL050,32
34070909007,SL050,
34073434004,SL050,27.7
34074747003,SL050,30.6
34153131008,SL050, 
34011414002,SL050,30.1
34090808002,SL050,29.3
34024444005,SL050,
34172626003,SL050,31.7
34143030003,SL050,32.1
34025050005,SL050,29.2
34053535002,SL050,30.5
34091717001,SL050,33.1
34104646004,SL050,27.6
34053838002,SL050,29.5
34160101051,SL050, 
34111010006,SL050,27.8
34073737003,SL050,37.8
34073737004,SL050,
34110606003,SL050,28.5
34162020016,SL050,30.6
34153131009,SL050, 
34104646042,SL050,28.6
34104646043,SL050,34.5
34090808014,SL050,28.3
34094343001,SL050,35.3
34091717002,SL050,27.5
34100303004,SL050,39.1
34101212002,SL050,29.9
34022222907,SL050,32.1
34025050006,SL050,27.1
34022222006,SL050,27.9
34092525038,SL050,29.9
34162020003,SL050,28.1
34132828002,SL050,32.9
34172626004,SL050,
34164848911,SL050,26.6
34084545001,SL050,28.1
34024444006,SL050,34.5
34025050007,SL050,
34074747004,SL050,32.4
34025050008,SL050,28.3
34111010903,SL050,27.4
34040707002,SL050,29.7
34012121001,SL050,37.7
34053838003,SL050,29.5
34012929001,SL050,29
34073737005,SL050,
34084545002,SL050,31.5
34132828003,SL050,37
34011818002,SL050,27.8
34073737006,SL050,35.8
34081313003,SL050,28.9
34081919004,SL050,
34132828004,SL050,34.7
34092525004,SL050,29.9
34110606004,SL050,27.6
34014141002,SL050,29.5
34104646005,SL050,30.5
34073434005,SL050,32.5
34073737007,SL050,34
34025050009,SL050,36.4
34081616003,SL050,32.3
34081919005,SL050,33
34040707001,SL050,34.4
34092525005,SL050,40.8
34080202002,SL050,30.2
34024444007,SL050,35.3
34073434006,SL050,
34073737008,SL050,30.6
34073737009,SL050,30.1
34080202003,SL050,33.8
34092525006,SL050,26.5
34104646006,SL050,31
