SUMLEV,Geo,AENA_V27,AENA_V28,AENA_V29,AENA_V30,AENA_V31,AENA_V32,AENA_V33,AENA_V34,AENA_V35,AENA_V36,AENA_V37,AENA_V38,AENA_V39
SL050,34121515030,84375,12154,11621,9846,5346,0,0,6805,6568,7120,6678,7029,11208
SL050,34132828078,401133380,45834280,45075444,35758616,18041953,26031261,22992132,28134170,27713226,31744407,40451621,39757213,39599057
SL050,34143030029,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34080202002,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34011111003,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34100303064,3519863,306472,298043,283765,201921,264877,290592,320949,248096,296846,310181,328377,369744
SL050,34010404012,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34033333015,19733,3367,3424,1678,1018,12,0,698,295,66,239,247,8689
SL050,34110606014,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34090808168,114263104,13768977,13509196,10014432,4924940,6444737,6837940,9320571,8037234,9856615,11142638,10189674,10216150
SL050,34164848902,384489,83035,68286,36895,123,58,7232,30357,31696,31327,39477,26978,29025
SL050,34070909058,56,0,0,0,0,0,0,56,0,0,0,0,0
SL050,34025050902,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34011414020,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34053838047,58389,5329,5121,4723,4233,5037,5752,5048,4636,4635,4452,4660,4763
SL050,34011818057,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34053535016,343580,48333,49397,39743,11040,13127,16246,25785,27092,24451,22845,28258,37263
SL050,34091717232,327105,40551,9484,24742,656,1575,270,78283,41874,92927,7327,7509,21907
SL050,34053535025,13922633,1629065,1456068,1112572,599240,854304,985829,1251048,1220353,1158528,1145784,1233199,1276643
SL050,34022222014,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34040707025,1052955,150133,84203,73024,50142,70157,84565,108829,96529,93887,81645,76980,82861
SL050,34011111019,103,90,0,0,0,0,0,0,8,2,3,0,0
SL050,34053838002,1034,95,160,126,0,0,0,89,31,67,176,119,171
SL050,34053838052,279380,43028,34724,31456,8044,8277,11347,22756,21851,23292,21923,27807,24875
SL050,34053535017,583372,104908,83014,75355,18355,23653,24081,35138,43518,41625,35855,45647,52223
SL050,34072424188,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34172626001,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,341328280781,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34012929066,911933,197852,189470,127242,80,29555,60275,47433,53667,55589,61478,42926,46366
SL050,34185151001,32150,12345,10249,4213,0,0,117,899,822,986,958,1007,554
SL050,34040707031,962246,138757,76195,91311,47366,69943,70845,84128,79323,80919,67222,68552,87685
SL050,34040707039,6732880,811612,623169,504237,290580,676762,534905,576385,518897,555514,551140,521163,568516
SL050,34153131087,44,3,34,7,0,0,0,0,0,0,0,0,0
SL050,34094343122,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34090808185,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34073737174,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34162020035,24,21,3,0,0,0,0,0,0,0,0,0,0
SL050,34121515077,2981222,278753,221963,228946,18,50814,155127,294678,251084,286424,385748,419812,407855
SL050,34063939015,26,0,0,0,0,0,0,26,0,0,0,0,0
SL050,34014141090,9649974,952685,856127,784108,509820,621069,820752,897309,746189,707849,906316,931326,916424
SL050,34040707039,0,0,0,0,0,0,0,0,0,0,0,0,0
SL050,34053838022,9643495,1012735,1024524,849743,613775,810630,789320,931804,644845,691580,728478,671520,874541
SL050,34053838016,806384,188841,156935,93246,3779,14064,28608,50487,55902,47753,56722,52081,57966
SL050,34104646158,11938081,1067230,1038102,1068436,1034386,724555,865899,1157320,777343,972758,1044877,1056395,1130780
SL050,34074747216,5551,1000,0,0,442,0,0,0,0,0,2400,745,964
SL050,34123636056,276116,37035,31696,14189,857,1129,5259,19940,25369,23834,30190,41308,45310
SL050,34160101058,64334316,5252000,4999479,5167162,4006048,4463868,5083731,5746236,4454970,5774002,6381338,6478152,6527330
SL050,34025050296,143600357,14976853,13672141,10292523,4301653,3895146,5566290,10144824,14717757,18796047,19939757,15270604,12026762
