SUMLEV,Geo,ERENOV_V1,ERENOV_V2,ERENOV_V3,ERENOV_V4,ERENOV_V5,ERENOV_V6,ERENOV_V7,ERENOV_V8
SL010,34,459,178,12,59,185,17,,8
SL030,3404,4,3,1,,,,,
SL030,3407,65,10,2,10,39,2,,2
SL030,3416,57,16,2,,37,2,,
SL030,3414,10,3,,1,5,1,,
SL030,3409,92,23,3,2,58,2,,4
SL030,3401,53,22,1,8,16,5,,1
SL030,3417,8,5,,1,2,,,
SL030,3415,17,3,,2,12,,,
SL030,3412,48,24,,17,7,,,
SL030,3406,9,4,1,1,1,2,,
SL030,3410,35,32,,1,,1,,1
SL030,3403,5,1,1,,2,1,,
SL030,3405,13,2,1,9,1,,,
SL030,3402,20,12,,4,4,,,
SL030,3408,18,14,,3,1,,,
SL030,3413,2,2,,,,,,
SL030,3411,3,2,,,,1,,
SL040,340407,4,3,1,,,,,
SL040,340737,6,1,,,5,,,
SL040,341620,34,4,,,28,2,,
SL040,341430,10,3,,1,5,1,,
SL040,340925,18,5,,,12,,,1
SL040,340121,10,5,1,,1,3,,
SL040,340111,12,2,,7,1,1,,1
SL040,340749,3,,2,,1,,,
SL040,340917,22,3,,,19,,,
SL040,340908,46,11,3,,27,2,,3
SL040,340709,11,4,,,7,,,
SL040,340740,6,,,1,5,,,
SL040,341648,14,9,,,5,,,
SL040,340724,5,1,,,4,,,
SL040,341726,8,5,,1,2,,,
SL040,341531,17,3,,2,12,,,
SL040,340118,13,6,,,7,,,
SL040,341227,10,2,,7,1,,,
SL040,340639,9,4,1,1,1,2,,
SL040,341046,15,14,,1,,,,
SL040,340333,5,1,1,,2,1,,
SL040,341012,15,14,,,,,,1
SL040,340538,11,1,1,8,1,,,
SL040,340123,9,4,,,5,,,
SL040,341236,10,8,,,2,,,
SL040,341215,25,13,,10,2,,,
SL040,340742,11,,,5,3,2,,1
SL040,341601,9,3,2,,4,,,
SL040,340705,12,,,4,8,,,
SL040,340747,9,4,,,4,,,1
SL040,340943,6,4,,2,,,,
SL040,340222,6,3,,,3,,,
SL040,340250,12,7,,4,1,,,
SL040,340819,4,3,,,1,,,
SL040,341232,3,1,,,2,,,
SL040,340845,6,6,,,,,,
SL040,340104,2,1,,1,,,,
